,User,Date,Tweet Text,Tweets Ago,Positive,Negative,Neutral,Compound
30,BBC,Sun Dec 24 16:29:50 +0000 2017,RT @bbcthree: Is social media ruining your relationship? https://t.co/0PJZiC8s5g,31,0.0,0.8,0.2,-0.25
31,BBC,Sun Dec 24 16:26:49 +0000 2017,"RT @BBCOne: Lights, camera, action! Films for the family this Christmas on @BBCOne. ? https://t.co/ldUi0Bnhn7",32,0.0,1.0,0.0,0.0
32,BBC,Sun Dec 24 16:00:01 +0000 2017,"The struggle is real. ??

Via @BBCTheSocial https://t.co/YrfHSW7Bwu",33,0.0,0.753,0.247,-0.3182
33,BBC,Sun Dec 24 15:00:08 +0000 2017,? Are real or fake Christmas trees better for the environment? ??https://t.co/8JZoL7ZzDa https://t.co/dEoYVZp4j9,34,0.181,0.625,0.194,-0.0516
34,BBC,Sun Dec 24 14:30:09 +0000 2017,?? 7 huge songs that only made it to No.2 in the Christmas chart.  https://t.co/KSJzX0Hl8r https://t.co/YiAA6ZW5BO,35,0.141,0.859,0.0,0.3182
35,BBC,Sun Dec 24 14:00:05 +0000 2017,Worried about over-indulging this Christmas? These recipes offer healthy alternatives to your favourite festive foo… https://t.co/nN6f3sltbj,36,0.273,0.622,0.105,0.5423
36,BBC,Sun Dec 24 13:30:02 +0000 2017,"Doodlebugs. Where a clip show meets a sketch show and draws a funny face on it. ?

#DoodleBugs | @BBCOne |… https://t.co/5JpRtJ3zX4",37,0.153,0.847,0.0,0.4404
37,BBC,Sun Dec 24 12:35:04 +0000 2017,How much do you know about Britain's favourite cheese? This Cheddar quiz is not as cheesy as you might think. ?… https://t.co/PFYJ2VVjn3,38,0.0,1.0,0.0,0.0
38,BBC,Sun Dec 24 12:02:43 +0000 2017,"RT @bbccomedy: What's the worst Christmas present you've ever received? We went around BBC Towers asking some famous faces theirs! 

PS: Do…",39,0.0,0.827,0.173,-0.6588
39,BBC,Sun Dec 24 12:02:29 +0000 2017,"RT @BBCR1: SO ? MANY ? GOOSEBUMPS ?

Watch @SamSmithWorld's stunning Live Lounge back in full ? https://t.co/Hqu3GMbdkq https://t.co/YyQdPe…",40,0.157,0.843,0.0,0.3818
40,BBC,Sun Dec 24 21:43:10 +0000 2017,"Toasters: sworn enemy of the pet cat. 

#Doodlebugs is now available on @BBCiPlayer: https://t.co/5Yg5NYbjiO https://t.co/wAi6tUDMvy",41,0.0,0.8,0.2,-0.5423
41,BBC,Sun Dec 24 20:03:04 +0000 2017,Will you struggle to nod off knowing that Santa's on his way? Here are 7 tips from the Tudors on how to have a good… https://t.co/aqJ1Kp5QlL,42,0.0,0.909,0.091,-0.3182
42,BBC,Sun Dec 24 19:33:04 +0000 2017,Leonardo DiCaprio and Carey Mulligan star in a lavish adaptation of F. Scott Fitzgerald's classic novel. The Great… https://t.co/P4OV4NIZ8b,43,0.119,0.881,0.0,0.3182
43,BBC,Sun Dec 24 19:03:04 +0000 2017,"Tonight, @BillBailey, @Seal and @AleshaOfficial join @McInTweet for a Christmas special stuffed full of festive fun… https://t.co/iIr1OmdyLK",44,0.378,0.622,0.0,0.7845
